dataset_id	role	modality	organism	geo_accession_url	raw_bundle_url	raw_bundle_filename	raw_bundle_content_length_bytes	expected_sample_count	last_verified_utc	notes
GSE267401	primary	Visium (FFPE; CytAssist)	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267401	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267401/suppl/GSE267401_RAW.tar	GSE267401_RAW.tar	376023040	4	2026-02-12	Primary local-first dataset
GSE311294	replication	Visium	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311294	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE311nnn/GSE311294/suppl/GSE311294_RAW.tar	GSE311294_RAW.tar	194928640	5	2026-02-12	Local replication dataset
GSE285505	replication	Visium	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285505	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285505/suppl/GSE285505_RAW.tar	GSE285505_RAW.tar	69109760	4	2026-02-12	Local replication dataset (small)
