dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE311294	GSM9322957_TR11_206	4	M0_expr_kmeans	0.223891758128396	0.18638964667851	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication
GSE311294	GSM9322957_TR11_206	4	M1_spatial_concat_kmeans	0.223891758128396	0.18638964667851	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication
GSE311294	GSM9322957_TR11_206	4	M2_spatial_ward	0.029565758128396014	0.37122064667850996	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication-m2
GSE311294	GSM9322958_TR11_16184	4	M0_expr_kmeans	0.184110283084005	0.45125236551507	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	4	M1_spatial_concat_kmeans	0.18403928308400497	0.45169936551507006	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	4	M2_spatial_ward	0.021071283084004966	0.59500936551507	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m2
GSE311294	GSM9322958_TR11_16184	6	M0_expr_kmeans	0.21791448791714607	0.5864998112610899	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	6	M1_spatial_concat_kmeans	0.21837248791714603	0.5866558112610899	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	6	M2_spatial_ward	0.0011284879171460371	0.5573338112610899	rigor-backfill-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m2
GSE311294	GSM9322959_TR11_18105	4	M0_expr_kmeans	0.10927078876468899	-0.08829674866692006	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
