dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE311294	GSM9322959_TR11_18105	4	M1_spatial_concat_kmeans	0.10995178876468903	-0.08700474866691998	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	4	M2_spatial_ward	-0.03370921123531101	0.33495925133308	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m2
GSE311294	GSM9322959_TR11_18105	6	M0_expr_kmeans	0.14630889958918503	0.21688849440521996	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	6	M1_spatial_concat_kmeans	0.146172899589185	0.21519049440521998	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	6	M2_spatial_ward	-0.041820100410814964	0.65177949440522	rigor-backfill-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m2
GSE267401	GSM8265211_CTC21P	4	M0_expr_kmeans	0.042375828511040936	0.45975496607948996	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	4	M1_spatial_concat_kmeans	0.04212682851104099	0.4588389660794898	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	4	M2_spatial_ward	-0.044191171488959013	0.25829796607948996	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m2
GSE267401	GSM8265211_CTC21P	6	M0_expr_kmeans	0.149712748779243	0.65178794526437	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	6	M1_spatial_concat_kmeans	0.15003174877924308	0.6516469452643701	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	6	M2_spatial_ward	-0.09584525122075693	0.5908679452643701	rigor-backfill-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m2
GSE267401	GSM8265212_CTC21M	4	M0_expr_kmeans	0.2667590021503451	0.5693100677431	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	4	M1_spatial_concat_kmeans	0.265857002150345	0.5672610677430999	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	4	M2_spatial_ward	-0.022847997849654966	0.6651580677430999	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m2
GSE267401	GSM8265212_CTC21M	6	M0_expr_kmeans	0.23390425311352003	0.5190088860150399	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	6	M1_spatial_concat_kmeans	0.23326025311351994	0.51901288601504	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	6	M2_spatial_ward	-0.030556746886480024	0.64606688601504	rigor-backfill-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m2
GSE267401	GSM8265213_CTC17P	4	M0_expr_kmeans	0.2669909456294439	0.4597555379875	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	4	M1_spatial_concat_kmeans	0.265243945629444	0.4597975379875	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	4	M2_spatial_ward	-0.01626605437055606	0.4062595379874999	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m2
GSE267401	GSM8265213_CTC17P	6	M0_expr_kmeans	0.21326022626516106	0.3981100467784301	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	6	M1_spatial_concat_kmeans	0.21097522626516108	0.39833904677843013	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	6	M2_spatial_ward	-0.023414773734838912	0.5523680467784301	rigor-backfill-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m2
GSE311294	GSM9322957_TR11_206	6	M0_expr_kmeans	0.15164627576678602	0.09143734706383011	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication
GSE311294	GSM9322957_TR11_206	6	M1_spatial_concat_kmeans	0.15093427576678609	0.09199034706383014	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication
GSE311294	GSM9322957_TR11_206	6	M2_spatial_ward	-0.06093972423321392	0.36845834706383007	rigor-backfill-GSE311294-GSM9322957_TR11_206	stage3a-full-replication-m2
