panel_id	dataset_id	sample_id	method_id	K	status	wall_time_sec	peak_rss_mb	is_laptop_feasible	is_cloud_required	recommendation	notes
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	4	success	0.311344	313.699	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	6	success	0.28527	333.914	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	4	success	0.152724	317.062	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	6	success	0.210842	318.691	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	4	success	0.144437	292.543	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	6	success	0.347944	313.109	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	4	success	0.169064	296.215	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	6	success	0.220237	297.852	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	4	success	0.10041	247.805	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	6	success	0.120026	252.68	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	4	success	0.094008	223.922	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	6	success	0.114315	225.879	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	4	success	0.22481	283.113	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	6	success	0.307366	294.691	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	4	success	0.092011	293.57	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	6	success	0.139579	284.684	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	4	success	0.271191	269.02	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	6	success	0.244473	262.594	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	4	success	0.158389	260.121	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	6	success	0.190655	260.137	1	0	local-first	stage2a-local-full
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	4	success	0.110375	343.199	1	0	local-first	stage2b-replication-smoke
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	6	success	0.205771	348.492	1	0	local-first	stage2b-replication-smoke
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	4	success	0.10366	344.941	1	0	local-first	stage2b-replication-smoke
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	6	success	0.172581	345.012	1	0	local-first	stage2b-replication-smoke
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	4	success	0.14608	362.914	1	0	local-first	stage2c-replication-smoke
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	6	success	0.217812	363.547	1	0	local-first	stage2c-replication-smoke
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	4	success	0.154964	358.316	1	0	local-first	stage2c-replication-smoke
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	6	success	0.233792	357.262	1	0	local-first	stage2c-replication-smoke
